sub_feature_a,sub_feature_b,mean_abs_interaction
Workflow: default,Manage - Document Analyzed in Vincent,0.0
Text Editor Updated,Vincent RA - Tables Empty Table Selected,0.0
Workflow: default,Task: support_proposition,0.0
Workflow: default,Vincent RA - Tables Empty Table Selected,0.0
Text Editor Updated,Task: support_proposition,0.0
Text Editor Opened,Task: support_proposition,0.0
Matter - AI Action Viewed,Manage - Document Analyzed in Vincent,0.0
Matter - AI Action Viewed,Task: support_proposition,0.0
Matter - AI Action Viewed,Vincent RA - Tables Empty Table Selected,0.0
Task: support_proposition,Vincent RA - Tables Empty Table Selected,0.0
